,text
1824,@Twitter @EmojiMashupBot #twtter #LGBTQ #LGBT #blm #BlackLivesMatter twtter please please I beg of you to take this account down he’s a racist a homophobic and a dirt bag even encouraged people to suicide that tweet went down HOW is he’s acc not taken down scroll for the treads y’all I have pictures https://t.co/TODetzPyJe
1825,RT @TracyMorison: #BlackLivesMatter Ukrainians hold back Black Africans from boarding trains to flee the country. Poland (of all countries)…
1826,I believe we can 100%. if you say we can't explain. #Black #BlackLivesMatter #debates https://t.co/ZTLX5aa08J
1827,RT @KosovoAvenger: Ukrainians won’t allow Blacks to get out of Ukraine. And Russians are the bad guys? #BlackLivesMatter
1828,"RT @itsmburuu: Ignorance of our history as Africans, has lead to the brainwashing of the westerners, Russia stood behind Africa during the…"
1829,"RT @Amaka_Ekwo: I’m not surprised.
She is a Black.
Is that not racism?

Someone told me that the people of Ukrainian don’t like Black peopl…"
1830,"@Keandre11555275 @Zuarlyy @FortniteGame R E P O R T E D 
XD TEEHEE Get #BlackLivesMatter"
1831,RT @AchmatX: From Africans being denied the right to flee to safety to journalist outright telling us that Ukrainians are civilized Europea…
1832,"RT @JohnnyBellBooks: Ten years ago, a 17-year-old Black male was killed b/c he wore a hoodie while walking home. #Amerikkka learned that #B…"
1833,"RT @CUmeberechukwu: #NigeriaInvasion: Why the World Attention is on Ukraine, the #Nigeria State Invaded BIAFRA. The World Won't Talk about…"
1834,RT @communistsusa: Civil rights veterans like Rodney Hurst knew that the sit-ins to desegregate restaurants were more about “a hot dog and…
1835,"@Migiro16 When US &amp; NATO attacked &amp; ruined #Lybia killing many innocent, it was not war crime but they want us to believe that Russia's invasion is the worst war crime. #Shame on #RacistEU .

#BlackLivesMatter"
1836,RT @communistsusa: Civil rights veterans like Rodney Hurst knew that the sit-ins to desegregate restaurants were more about “a hot dog and…
1837,"@angrysugar4 When US &amp; NATO attacked &amp; ruined #Lybia killing many innocent, it was not war crime but they want us to believe that Russia's invasion is the worst war crime. #Shame on #RacistEU .

#BlackLivesMatter"
1838,RT @IsStratkotter: This is day 652 of strikeing for #SaveCongoRainforest and #GlobalClimateJustice to say that #AfricaMatters #BlackLivesMa…
1839,RT @wesley_lottem: Black lives matter #BlackLivesMatter #AfricansinUkraine #ukraine https://t.co/YVmZWheW1T
1840,"RT @PkChelzard: When US &amp; NATO attacked &amp; ruined #Lybia killing many innocent, it was not war crime but they want us to believe that Russia…"
1841,I had some of that #salad with a glop of #buttermilk #ranchdressing and let some #orange #sherbet #meltonmytongue afterwards.. #SundayFunday #EMINEM #bestperformance #takesaknee #blackfacelivesmatter #BlackLivesMatter https://t.co/5xdfhCS1q1
1842,RT @CaptWanderiCFE: #Racism against #Africans &amp; other pple of colour is continuing in #Eastern #Europe with #Poland #Romania #Slovakia deny…
1843,"@vonderleyen #Russia #China #War #Crime #USA #RTNews #News #Asian #NativeAmericans #BlackLivesMatter 

NATO CONSISTING OF MAJORITY OF WESTERN COUNTRIES IS A GANG. THEY ARE IN SHEEP CLOTHING BUT THEY WILL TAKE YOU OUT IN A MINUTE IF THEY NEED TO.

READY YOUR HISTORY BOOKS, AND SEE THE TRUTH."
1844,This is day 652 of strikeing for #SaveCongoRainforest and #GlobalClimateJustice to say that #AfricaMatters #BlackLivesMatter #blackTRANSlivesmatter #IndigenousLifesMatter #loveislove and that we got to #DefendTheDefenders #BuildBackBetter and #StopPoliceBrutalityInUganda and 1/7 https://t.co/REXzmqXODl
1845,"RT @AfricanArchives: 10 years ago today, at only 17, an unarmed Trayvon Martin was shot dead by George Zimmerman, fueling a movement. #Blac…"
1846,"RT @genevieve_anais: @Bluertwo Nvm #papajohns 

Everyone knows it's poop 💩 

But on the other hand, @littlecaesars founder paid the rent fo…"
1847,"@TaubHistory When US &amp; NATO attacked &amp; ruined #Lybia killing many innocent, it was not war crime but they want us to believe that Russia's invasion is the worst war crime. #Shame on #RacistEU .

#BlackLivesMatter"
1848,RT @empiremike__: It's this simple our black brother and sisters are locked when cats and dogs of the whites are allowed to flee for safety…
1849,"Ignorance of our history as Africans, has lead to the brainwashing of the westerners, Russia stood behind Africa during the hardest times, don't forget that.
 #racism 
#BlackLivesMatter 
#ISupportRussia 
#BlackLivesMatter https://t.co/huKID6QGT4"
1850,"@MeidasTouch When US &amp; NATO attacked &amp; ruined #Lybia killing many innocent, it was not war crime but they want us to believe that Russia's invasion is the worst war crime. #Shame on #RacistEU .

#BlackLivesMatter"
1851,"RT @megan_gfx: #Gamers! Get sick theme #badges for your gaming so HMU
#twitch #smallstreamer #twitchstreamer #ApexLegends  #twitchaffiliate…"
1852,RT @FoundationChic2: Happening now! Ryan Hall teaching at Foundation! #RyanHall #BJJ #JiuJitsu #MMA  #PilsenChicago #Kickboxing #Wrestling…
1853,RT @empiremike__: It's this simple our black brother and sisters are locked when cats and dogs of the whites are allowed to flee for safety…
1854,RT @Malcolm_X_Files: By any means necessary. #BlackHistoryMonth #BlackLivesMatter #BlackOwned #BlackTwitter #MalcolmX https://t.co/Rw12Pg2n…
1855,RT @SABehar: This is like @GOP saying #BlackLivesMatter and #Antifa stormed the Capitol on 1/6! https://t.co/JyXM5qpJT8
1856,"RT @crypto1playa: @vonderleyen #Russia #China #War #Crime #USA #RTNews #News #Asian #NativeAmericans #BlackLivesMatter 

THE WESTERN NATION…"
1857,"Even in the middle of a crisis africans are not allowed to board trains for safety, what ashame!
#AfricansinUkraine
#African
#BlackLivesMatter https://t.co/aw6PhfZ0Co"
1858,"RT @megan_gfx: #Gamers! Get sick theme #badges for your gaming so HMU
#twitch #smallstreamer #twitchstreamer #ApexLegends  #twitchaffiliate…"
1859,"RT @alan_cumari: #RacistEU #NigeriansInUkraine #UkraineRussiaWar #UkraineUnderAttack #ukraine #BlackLivesMatter #racism 
When US &amp; NATO att…"
1860,@efobherry It's ignorance and brainwashing by westerners. #BlackLivesMatter #AfricansinUkraine
1861,RT @ugotGod: ⚡️#BreakingNews @BarackObama @MichelleObama @VP  @MayorBibb @CityofCleveland @OhioPPC @OhioYBD @_OLBC @NinaTurner @TheBlackCau…
1862,⚡️#BreakingNews @BarackObama @MichelleObama @VP  @MayorBibb @CityofCleveland @OhioPPC @OhioYBD @_OLBC @NinaTurner @TheBlackCaucus @OSACleveland @UKBLM @BLM_216 #BlackLivesMatter  🌍Only in The #CLE🌃 #OHiO🌇 https://t.co/cGQkYPG9QT
1863,"RT @QueenCori: There is nowhere safe from #Racism #BlackLivesMatter   
#RacismInUkraine #UkraineUnderAttack 
@POTUS needs to think twice ab…"
1864,RT @TracyMorison: #BlackLivesMatter Ukrainians hold back Black Africans from boarding trains to flee the country. Poland (of all countries)…
1865,RT @TracyMorison: #BlackLivesMatter Ukrainians hold back Black Africans from boarding trains to flee the country. Poland (of all countries)…
1866,RT @KosovoAvenger: Ukrainians won’t allow Blacks to get out of Ukraine. And Russians are the bad guys? #BlackLivesMatter https://t.co/P5v0N…
1867,@shaunking Many black peoples are not allowed to enter Poland or the training camp to escape the war 😢many videos and circulated children families not a single news about it students and more #BlackLivesMatter
1868,"@vonderleyen #Russia #China #War #Crime #USA #RTNews #News #Asian #NativeAmericans #BlackLivesMatter 

SO ASK YOURSELVES. WHO'S REALLY THE EVIL ROOT OF THE WORLD. IT SURE IS NOT RUSSIA OR CHINA. FOR NOT ONCE DID THEY STEAL A PIECE OF LANDS FROM THE NATIVES OR MADE PEOPLE SLAVES."
1869,"RT @megan_gfx: #Gamers! Get sick theme #badges for your gaming so HMU
#twitch #smallstreamer #twitchstreamer #ApexLegends  #twitchaffiliate…"
1870,RT @slickrok: Charge her with manslaughter.why is she getting away with this? #BlackLivesMatter https://t.co/Ex52BnRrTf https://t.co/Ex52Bn…
1871,RT @KosovoAvenger: Ukrainians won’t allow Blacks to get out of Ukraine. And Russians are the bad guys? #BlackLivesMatter https://t.co/P5v0N…
1872,#BlackLivesMatter even in Ukraine
1873,"RT @sangalo__: As we are praying for Ukraine, we should remember that this was once a postcard #BlackLivesMatter https://t.co/HbE92MtwTZ"
1874,"RT @mefeater: 10 years ago today #TrayvonMartin was shot and killed while walking home unarmed. We will always remember him. 🖤
#BlackLivesM…"
1875,RT @KosovoAvenger: Ukrainians won’t allow Blacks to get out of Ukraine. And Russians are the bad guys? #BlackLivesMatter
1876,"@vonderleyen #Russia #China #War #Crime #USA #RTNews #News #Asian #NativeAmericans #BlackLivesMatter 

THE WESTERN NATIONS HAVE STOLEN LANDS FROM THE NATIVE PEOPLE OF NORTH AMERICA, AUSTRALIA, AND CANADA. THEY HAVE MADE AFRICANS SLAVES.

CHINA NOR RUSSIA HAS EVER DONE THIS IN THEIR HISTORY"
1877,"RT @megan_gfx: #Gamers! Get sick theme #badges for your gaming so HMU
#twitch #smallstreamer #twitchstreamer #ApexLegends  #twitchaffiliate…"
1878,"RT @megan_gfx: #Gamers! Get sick theme #badges for your gaming so HMU
#twitch #smallstreamer #twitchstreamer #ApexLegends  #twitchaffiliate…"
1879,"RT @genevieve_anais: @Bluertwo Nvm #papajohns 

Everyone knows it's poop 💩 

But on the other hand, @littlecaesars founder paid the rent fo…"
1880,RT @KosovoAvenger: Ukrainians won’t allow Blacks to get out of Ukraine. And Russians are the bad guys? #BlackLivesMatter
1881,"RT @megan_gfx: #Gamers! Get sick theme #badges for your gaming so HMU
#twitch #smallstreamer #twitchstreamer #ApexLegends  #twitchaffiliate…"
1882,"RT @zodiac_dka: Ignorance of our history as Africans, has lead to the brainwashing of the westerners, Russia stood behind Africa during the…"
1883,"#Gamers! Get sick theme #badges for your gaming so HMU
#twitch #smallstreamer #twitchstreamer #ApexLegends  #twitchaffiliate #BlackLivesMatter @twitchpromoters @StreamerWall @rtsmallstreams
@shoutgamers @promo_streams @SGH_RTs @wwwanpaus @RexRetweets @Twitwatchtv
@EsportsTweeter https://t.co/VbqHm35aco"
1884,RT @TracyMorison: #BlackLivesMatter Ukrainians hold back Black Africans from boarding trains to flee the country. Poland (of all countries)…
1885,RT @Nadine_Writes: Black people stuck in Ukraine are reportedly being subjected to racism even as they attempt to flee to safety. Even duri…
1886,"RT @wh1tenerdy: Russians are trying to discredit #blacklivesmatter movement by sharing this fake.
They want Ukrainians to believe that BLM…"
1887,Charge her with manslaughter.why is she getting away with this? #BlackLivesMatter https://t.co/Ex52BnRrTf https://t.co/Ex52BnRrTf
1888,RT @NehandaRadebe: When you don't understand white supremacy and racism then everything else will only confuse you.  #BlackLivesMatter http…
1889,Ukrainians won’t allow Blacks to get out of Ukraine. And Russians are the bad guys? #BlackLivesMatter https://t.co/P5v0NlHo8T
1890,"As we are praying for Ukraine, we should remember that this was once a postcard #BlackLivesMatter https://t.co/HbE92MtwTZ"
1891,"RT @YH_INDIA: Saw videos of Ukranian army treating #indianstudentsinukraine &amp; #AfricansinUkraine badly.

I mean are they really doing this…"
1892,"RT @annastayziaa: Fuck white supremacy 
#BlackLivesMatter https://t.co/AhSwRkN2NP"
1893,"#Zelensky on #Putin’s kill list in the most dangerous place on earth #Kyiv #Ukraine in war.
Trump in White House hiding in bunker the most secure place on the planet during #BlackLivesMatter  Peace Protest
You can’t make this shit up! LOL MAGA
I practically piss myself LOL 😂 https://t.co/qPiHg4hXSG"
1894,"@jakeypissback Cole is black? 
I don’t care what race she is! I love her no matter what! Black lives matter! 
#BlackLivesMatter"
1895,#RussianArmy  bomb/kill this racists policemen . You can't just do that to a fellow human being.. no sympathy for Ukraine anymore .. #BlackLivesMatter https://t.co/SuKQMhzK3o
1896,"Even in the midst of war, Africans are victims of racism. The #Ukrainians refuse to let them leave the country, the embassies seem not to answer them, they are abandoned to their fate. What have we done? where is the #UN to defend their rights?#BlackLivesmatter
#Ukraine
#Russia"
1897,"RT @fd_abeeer: Tweeters express their anger at the Ukrainian government, for preventing black people from leaving for Poland!!Again? Racism…"
1898,"RT @VeedusM: #POTUS 
#SCOTUS 
#GOP 
#DNC 
#PressSec 
#RepMTG
#FoxNews 
#CNN 
#Antifa 
#BlackLivesMatter 
#ISIS 
#PONTIFEX 
#Copelandnetwork…"
1899,RT @empiremike__: It's this simple our black brother and sisters are locked when cats and dogs of the whites are allowed to flee for safety…
1900,"RT @zodiac_dka: Ignorance of our history as Africans, has lead to the brainwashing of the westerners, Russia stood behind Africa during the…"
1901,"#NoHumanIsIllegal #BlackLivesMatter 
Remember #KidsInCages https://t.co/OvqYLSX5Rt"
1902,⚡️#BreakingNews @BarackObama @MichelleObama @VP  @MayorBibb @CityofCleveland @OhioPPC @OhioYBD @_OLBC @NinaTurner @TheBlackCaucus @OSACleveland @UKBLM @BLM_216 #BlackLivesMatter 🌍Only in The #CLE🌃 #OHiO🌇 https://t.co/7VQNQrgMNK
1903,All refugees in camp getting their vaccines #Afganistan #BlackLivesMatter #TransLivesMatter #PrayingForUkraine #fundraising #FundtheDF #fundingplatform #IStandWithUkraine https://t.co/cbGc4p8ytx
1904,"From Africans being denied the right to flee to safety to journalist outright telling us that Ukrainians are civilized Europeans with blonde hair and blue eyes, the world is once again reminding us why we created and needed the hashtag #BlackLivesMatter"
1905,"RT @akaroa614: This is a flagrant abuse of human rights. Every single person deserves the same level of compassion! 

#HumanRights 
#BlackL…"
1906,"RT @RefugeesinLibya: We call on all relevant authorities, active parties to let African refugees in to Poland like any other refugees,they…"
1907,"RT @amanda_gfx: #streamers if you need sick #emotes for your twitch HMU...
#smallstreamer #twitchaffiliate #twitchstreamers #SupportSmallSt…"
1908,"#streamers if you need sick #emotes for your twitch HMU...
#smallstreamer #twitchaffiliate #twitchstreamers #SupportSmallStreamers  #twitch #BlackLivesMatter           #SupportBlackBusiness 
@GDAutoArt @GamingRTweeters @ArtistRTweeters
@CCG_RTs @sme_rt @WorldsSpotlight @stream_rt https://t.co/r796MxvKNP"
1909,"Being #Black / #AfricanAmerican is not a #color -   It's  a #culture 
Our differences should not define us NOR should they  divide us . 
#BlackHistoryMonth
#BlackLivesMatter
#Blackculture
#cultureunitestheworld
https://t.co/1kNhYCQuA7"
1910,RT @empiremike__: It's this simple our black brother and sisters are locked when cats and dogs of the whites are allowed to flee for safety…
1911,RT @_ItsGitau: #BlackLivesMatter Poland Ukraine Russia https://t.co/XU28u5PZL6
1912,Woke High School Student DECLARES MLK ENDED Slavery During Black History... https://t.co/j73k1Dzv8W via @YouTube #LOL #Wokeness #BLM #BlackLivesMatter  #MLK #BlackHistoryMonth   #EducationFails #truth #facts
1913,This is like @GOP saying #BlackLivesMatter and #Antifa stormed the Capitol on 1/6! https://t.co/JyXM5qpJT8
1914,RT @wesley_lottem: Black lives matter #BlackLivesMatter #AfricansinUkraine #ukraine https://t.co/YVmZWheW1T
1915,"RT @ashcmtb: https://t.co/GeDhF10A4V…

SIGN THE ABOVE #Petition 🙏🏻
For #NoahDonohoe, for #CrimesAgainstChildren EVERYWHERE!! 
Be part of #C…"
1916,"Being racist in the middle of war  or not,brings about negative https://t.co/vF2gjsUO1s can the war be won if some people exhibit such immoral value?
 #BlackLivesMatter"
1917,"RT @YH_INDIA: Saw videos of Ukranian army treating #indianstudentsinukraine &amp; #AfricansinUkraine badly.

I mean are they really doing this…"
1918,"RT @VickieRemoe: It would appear that racists in Ukraine are not taking any time off during this conflict.

Instead they’re denying African…"
1919,"All animals are equal, but some animals are more equal than others. 

#PUNCHDOWN
Bula knocked out Zuluzinho like #BlackLivesMatter don't matter https://t.co/3TqI8qcSWv"
1920,"RT @ScotlandXr: We are horrified by the unfolding situation in #Ukraine, but especially of the deeper level of trauma being experienced by…"
1921,RT @sydneycarolynn: Police brutality is a thing and has been a serious problem for almost a century now. Sometimes it isn’t even about race…
1922,"RT @ElaMoscicka: .@Microsoft, you used your voice to support #BlackLivesMatter, #StopAsianHate.

Why you’re silent now? 

#Ukraine #StopWar"
1923,"RT @PkChelzard: When US &amp; NATO attacked &amp; ruined #Lybia killing many innocent, it was not war crime but they want us to believe that Russia…"
1924,"RT @fd_abeeer: Tweeters express their anger at the Ukrainian government, for preventing black people from leaving for Poland!!Again? Racism…"
1925,RT @wesley_lottem: Black lives matter #BlackLivesMatter #AfricansinUkraine #ukraine https://t.co/YVmZWheW1T
1926,"RT @VickieRemoe: It would appear that racists in Ukraine are not taking any time off during this conflict.

Instead they’re denying African…"
1927,Ariane McCree #BlackLivesMatter
1928,"RT @zodiac_dka: Ignorance of our history as Africans, has lead to the brainwashing of the westerners, Russia stood behind Africa during the…"
1929,"We don’t care about who wins the battle the most important thing is please in Gods name human lives matters we’ve spent over 3,000,000$ in camp for more donations islamicbrothersislamic@gmail.com##AustraliaDecides #BlackLivesMatter #fundraiser #GoFundMe #NewsAlert #TransLivesMat https://t.co/Bi8nDR6Uot"
1930,May Putin beat you #Ukraine to pulp #RacistEU for discrimination against black peoples #AfricansinUkraine #BlackLivesMatter #blacklivesstillmatter #UkraineRussiaWar
1931,RT @d_cjman: Nigerians are finally making it into Poland✊🏾✊🏾✊🏾#AfricansinUkraine #BlackLivesMatter #UkraineRussiaWar https://t.co/ENYSxHH4kY
1932,Double standards and racism has no limits https://t.co/8wPZ3ui4zY #BlackLivesMatter
1933,RT @empiremike__: It's this simple our black brother and sisters are locked when cats and dogs of the whites are allowed to flee for safety…
1934,"I see no changes, all I see is racist faces
Misplaced hate makes disgrace to races
We under, I wonder what it takes to make this
One better place, let's erase the wasted
Take the evil out the people, they'll be actin' right
#BlackLivesMatter #RacistEU #Tupac https://t.co/nwOJAUmOOi"
1935,RT @SPapadouli: The public outcry for Ukraine shows that white lives matter. I don’t remember the same energy when Israel was bombing Pales…
1936,"RT @dna: The second step of #OperationGanga became successful as 250 more Indians were brought back from Ukraine

#RussiaUkraineConflict #U…"
1937,"RT @RefugeesinLibya: We call on all relevant authorities, active parties to let African refugees in to Poland like any other refugees,they…"
1938,https://t.co/3q9pmxvKtj #BLM #BlackLivesmatter #B1 #FBA #Alkebulan #Amerikkka#UnapologeticallyBlack #ADOS #Racism #ThirdEye #Africa
1939,"@theman2389 @JamieLittleTV @cheerios @wheaties @StenhouseJr @NASCARONFOX Ah I love the excuses. Best take your time to do some research during ‘work’ and come back with something credible instead of something that can easily be proven wrong with a few clicks of a button. Also, just to piss you off, #BlackLivesMatter"
1940,"RT @DanMatunda: @BBC @CNN won't show you this.
While people are fleeing Ukraine to Poland, African students have been left to die in Ukrain…"
1941,"RT @AdrblyFerocious: Black lives exist every day, not only in the shortest month of the year. 🙄 ✊🏽✊🏾✊🏿✊🏼

#BlackHistoryMonth 
#BlackLivesMa…"
1942,"#COVID ➡️ #BlackLivesMatter ➡️
#COVID ➡️ #Hochwasser ➡️
#COVID ➡️ #Ukraine ➡️
…

As we see #covid can take breaks…"
1943,RT @tav24news: They are dragging african/black people of the busses 🤔 #AfricansinUkraine #Ukraine #UkraineRussia #BlackLivesMatter https://…
1944,RT @wesley_lottem: Black lives matter #BlackLivesMatter #AfricansinUkraine #ukraine https://t.co/YVmZWheW1T
1945,RT @woe73: Why aren't you allowing #BlackPeople scross your borders #Poland That's disgusting. The world is watching and willing to help. #…
1946,"RT @Westcoast_v3gan: I felt sorry for Ukraine 🇺🇦 
But after seeing this footage it’s clear no matter where you are in the world, if you’re…"
1947,RT @CBHeresy: #BlackLivesMatter is the woman who starts crying about her divorce at your father's funeral. https://t.co/fDujI2duJi
1948,RT @Nadine_Writes: Black people stuck in Ukraine are reportedly being subjected to racism even as they attempt to flee to safety. Even duri…
1949,RT @CBHeresy: #BlackLivesMatter is the woman who starts crying about her divorce at your father's funeral. https://t.co/fDujI2duJi
1950,RT @theabbiesalcedo: The anti-blackness &amp; racism against #AfricansinUkraine is absolutely repulsive. The fact that people in #Ukraine are d…
1951,"We are the imperialists we protest against.
#FreePalestine #Somalia 
#Indigenous #BlackLivesMatter 

When elephants fight,
...it is the grass that suffers. https://t.co/HKGLhJlagv https://t.co/yxuD9hWQky"
1952,"RT @BILMovement: With this post we are not trying to create separatism.
We seek to highlight the amount of racism that still exists in the…"
1953,"RT @SheilaSobrany: We can’t stay silent on the abhorrent racism being demonstrated here to Africans, these are human beings they have equal…"
1954,"RT @zodiac_dka: Ignorance of our history as Africans, has lead to the brainwashing of the westerners, Russia stood behind Africa during the…"
1955,"RT @fd_abeeer: Tweeters express their anger at the Ukrainian government, for preventing black people from leaving for Poland!!Again? Racism…"
1956,"RT @wh1tenerdy: Russians are trying to discredit #blacklivesmatter movement by sharing this fake.
They want Ukrainians to believe that BLM…"
1957,RT @empiremike__: It's this simple our black brother and sisters are locked when cats and dogs of the whites are allowed to flee for safety…
1958,RT @SerbianTeam: #Ukraine. Ukrainian Army doesn't allows African Americans to get onboard in train in #Kyiv. Where is now @BLMLA @ukblm #Bl…
1959,RT @kedomi: I promise y’all I am team #StandWithUkriane all day. But if I see Ukraine following neighbors making it hard for Black people t…
1960,RT @SerbianTeam: #Ukraine. Ukrainian Army doesn't allows African Americans to get onboard in train in #Kyiv. Where is now @BLMLA @ukblm #Bl…
1961,"RT @zodiac_dka: Ignorance of our history as Africans, has lead to the brainwashing of the westerners, Russia stood behind Africa during the…"
1962,Libs… don’t forget to update your social bios and Facebook frame from #BlackLivesMatter to #IStandWithUkriane. Gotta make sure to keep up with the appropriate virtue signaling.
1963,#AfricansinUkraine #BlackLivesMatter .Concerns mount as Black people report racism while fleeing Ukraine. Preventing African nationals boarding trains to flee is a disgrace. President Zelensky must act swiftly to stop this.  https://t.co/jaekwpBW5f
1964,RT @wesley_lottem: Black lives matter #BlackLivesMatter #AfricansinUkraine #ukraine https://t.co/YVmZWheW1T
1965,Health facilities needed as most Ukrainian in camp are mostly infected please help the leaders of tommorow #animalwelfare #fundraising #fundraiser #fundraisingbc007MEcfs #BlackLivesMatter #GoFundMe  islamicbrothersislamic@gmail.com https://t.co/2RHKzdZBXh
1966,".@AndrzejDuda Poland must let all refugees in from Ukraine not just Ukranians! What is happening to #AfricansinUkraine at the border is unacceptable! #BlackLivesMatter!
cc: @POTUS https://t.co/25g6Gjncrd"
1967,RT @empiremike__: It's this simple our black brother and sisters are locked when cats and dogs of the whites are allowed to flee for safety…
1968,"$892/7000. One more class to graduation. #Euphoriaday #college #Donations #BlackLivesMatter #BlackHistoryMonth 

https://t.co/ixktAdYPMi"
1969,"RT @ScotlandXr: We are horrified by the unfolding situation in #Ukraine, but especially of the deeper level of trauma being experienced by…"
1970,"RT @efobherry: WTF 🤬🤬
So many wars in Africa right now but I'd never seen anyone talk about it on Twitter but Russia invading Ukraine, Blac…"
1971,"I was thankful when a young lady stood up to police in the US during #BlackLivesMatter 
I was thankful when a TV reporter who tried an asylum seeker at Hungarian border was fired.
I’m thankful for the little Palestinian girl fighting occupation
I’m thankful to the Ukrainians https://t.co/0VjlI9iyFM"
1972,"2022 was the year that the entire western #MSM and all the western #MSM governments proved beyond a shadow of a doubt that:
#WhiteLivesMatter &gt; #BlackLivesMatter
#BLM #Russia #Ukraine #PoC

https://t.co/LqR2L2Xais"
1973,"RT @TP4_STYLE: I’m black l’m not a monster,say no to racism #BlackLivesMatter #Ukraine  #gbwhatsapp  #satan #NDLEA https://t.co/dEuggVSZSM"
1974,#BlackLivesMatter black people and other foreign people who trapped in ukraine can't go to neighbor countries #UkraineRussiaWar #RussianWar #war #RussiaInvadesUkraine #europe #HumanRights #HumanRightsViolation #Equality #humans #people #poland #romania #hatred #racism
1975,"RT @BILMovement: With this post we are not trying to create separatism.
We seek to highlight the amount of racism that still exists in the…"
1976,"RT @zodiac_dka: Ignorance of our history as Africans, has lead to the brainwashing of the westerners, Russia stood behind Africa during the…"
1977,RT @Awad_Al_Ali: Preventing black people from crossing the border to escape the war in #Ukraine #RussiaUkraineWar #BlackLivesMatter #humani…
1978,"RT @fd_abeeer: Tweeters express their anger at the Ukrainian government, for preventing black people from leaving for Poland!!Again? Racism…"
1979,"RT @DerenicByrd: Kalief Browder allegedly stole a backpack at 16, spent 3 yrs at Riker's Island without trial.

Riley Williams stole a lapt…"
1980,#Ukraine. Ukrainian Army doesn't allows African Americans to get onboard in train in #Kyiv. Where is now @BLMLA @ukblm #BlackLivesMatter #SocialJustice  movement to condemn this segregation and protect civilian people from #nazi #Ukraine #UkraineRussia https://t.co/hASC4itY25
1981,RT @empiremike__: It's this simple our black brother and sisters are locked when cats and dogs of the whites are allowed to flee for safety…
1982,RT @wesley_lottem: Black lives matter #BlackLivesMatter #AfricansinUkraine #ukraine https://t.co/YVmZWheW1T
1983,"https://t.co/Myv9UNSnj7

And again, Black people face systemic racism all over the globe. This Al Jazeera article from 2017 lays it out. We know that Black Jews, even the Falasha, receive mistreatment in Israel as well &amp; all over MENA. 

#BlackLivesMatter #PalestineUnderAttack"
1984,"RT @zodiac_dka: Ignorance of our history as Africans, has lead to the brainwashing of the westerners, Russia stood behind Africa during the…"
1985,"Over £24,000 raised for African and Caribbean students in Ukraine after claims of racism at border | ITV News How is this a thing... Racism during a war!!! #BlackLivesMatter  https://t.co/cFQrn8sXNS"
1986,RT @empiremike__: It's this simple our black brother and sisters are locked when cats and dogs of the whites are allowed to flee for safety…
1987,RT @wesley_lottem: Black lives matter #BlackLivesMatter #AfricansinUkraine #ukraine https://t.co/YVmZWheW1T
1988,"RT @MosesMthomben10: The racist Ukraine must burn!

#BlackLivesMatter"
1989,"RT @DevanSandiford: Black joy is human joy. Black sorrow is human sorrow. Black history is human history. 

#IAmBlackHistory #HappyBlackHis…"
1990,Why aren't you allowing #BlackPeople scross your borders #Poland That's disgusting. The world is watching and willing to help. #AfricansinUkraine #BlackLivesMatter #PutinHitler #Putin #help #HelpUkraine #StopRussia #sad
1991,RT @Nadine_Writes: Black people stuck in Ukraine are reportedly being subjected to racism even as they attempt to flee to safety. Even duri…
1992,"RT @buzoruo: 10 years. We will never forget you 🖤
Rest in Power 🤴🏾🕊
#BlackLivesMatter 

https://t.co/2hDqzNbiMk https://t.co/0B8jz8TmgR"
1993,"RT @efobherry: WTF 🤬🤬
So many wars in Africa right now but I'd never seen anyone talk about it on Twitter but Russia invading Ukraine, Blac…"
1994,RT @Nadine_Writes: Black people stuck in Ukraine are reportedly being subjected to racism even as they attempt to flee to safety. Even duri…
1995,RT @TracyMorison: #BlackLivesMatter Ukrainians hold back Black Africans from boarding trains to flee the country. Poland (of all countries)…
1996,"RT @rachael_gfx: #streamers if you need sick #emotes for your twitch HMU...
#smallstreamer #twitchaffiliate #twitchstreamers #SupportSmallS…"
1997,Pastor Calls Out Black Lives Matter For Ignoring Black On Black Crime Sa... https://t.co/8MJD2NI7V9 via @YouTube #BLM #BlackLivesMatter #Pastor #SpeakTruth #Preach #Politics #Violence #Crime #MurderIsAChoice #truth #facts
1998,RT @empiremike__: It's this simple our black brother and sisters are locked when cats and dogs of the whites are allowed to flee for safety…
1999,RT @profnerdphd: They still need $$$ for rent --- SPREAD THIS &amp; DONATE 👇👇👇 #MutualAidRequest #BlackLivesMatter #BlackHistoryMonth
2000,RT @USAntifa1: #BlackLivesMatter - STILL and EVERYWHERE.
2001,"#Zelensky on #Putin’s kill list in the most dangerous place on earth #Kyiv #Ukraine in war.
Trump in White House hiding in bunker the most secure place on the planet during #BlackLivesMatter  Peace Protest
You can’t make this shit up! LOL MAGA https://t.co/Seq4ueAVs7"
2002,RT @empiremike__: It's this simple our black brother and sisters are locked when cats and dogs of the whites are allowed to flee for safety…
2003,RT @empiremike__: It's this simple our black brother and sisters are locked when cats and dogs of the whites are allowed to flee for safety…
2004,"#streamers if you need sick #emotes for your twitch HMU...
#smallstreamer #twitchaffiliate #twitchstreamers #SupportSmallStreamers  #twitch #BlackLivesMatter           #SupportBlackBusiness 
@GDAutoArt @GamingRTweeters @ArtistRTweeters
@CCG_RTs @sme_rt @WorldsSpotlight @stream_rt https://t.co/a2x8ihJgdO"
